 C	-35.51786123 -36.77982198 3.40000000
 C	-33.15311016 -36.10174052 3.40000000
 C	-30.78852463 -35.42370653 3.40000000
 C	-28.42377356 -34.74562508 3.40000000
 C	-33.54460068 -34.73645086 3.40000000
 C	-34.92272146 -34.39284676 3.40000000
 C	-26.05902249 -34.06754362 3.40000000
 C	-31.17984961 -34.05836940 3.40000000
 C	-32.55797040 -33.71476530 3.40000000
 C	-23.69427143 -33.38946216 3.40000000
 C	-28.81526407 -33.38033541 3.40000000
 C	-30.19338486 -33.03673131 3.40000000
 C	-21.32968589 -32.71142817 3.40000000
 C	-26.45051301 -32.70225395 3.40000000
 C	-27.82863379 -32.35864985 3.40000000
 C	-32.94946091 -32.34947563 3.40000000
 C	-18.96493483 -32.03334671 3.40000000
 C	-24.08581712 -32.02418832 3.40000000
 C	-34.32762336 -32.00603862 3.40000000
 C	-25.46388273 -31.68056840 3.40000000
 C	-30.58470984 -31.67139418 3.40000000
 C	-16.60034929 -31.35531272 3.40000000
 C	-21.72117640 -31.34613850 3.40000000
 C	-31.96287229 -31.32795716 3.40000000
 C	-23.09913166 -31.00248694 3.40000000
 C	-28.22012431 -30.99336019 3.40000000
 C	-14.23559822 -30.67723127 3.40000000
 C	-19.35642534 -30.66805705 3.40000000
 C	-29.59828675 -30.64992317 3.40000000
 C	-20.73454613 -30.32445295 3.40000000
 C	-25.85537324 -30.31527873 3.40000000
 C	-11.87084716 -29.99914981 3.40000000
 C	-16.99167427 -29.98997559 3.40000000
 C	-27.23353569 -29.97184171 3.40000000
 C	-32.35436280 -29.96266750 3.40000000
 C	-18.36979506 -29.64637149 3.40000000
 C	-23.49067735 -29.63721309 3.40000000
 C	-33.73248359 -29.61906339 3.40000000
 C	-9.50609609 -29.32106835 3.40000000
 C	-14.62708873 -29.31194160 3.40000000
 C	-24.86878462 -29.29376026 3.40000000
 C	-29.98961174 -29.28458604 3.40000000
 C	-16.00520952 -28.96833750 3.40000000
 C	-21.12603664 -28.95916328 3.40000000
 C	-31.36773253 -28.94098193 3.40000000
 C	-7.14151055 -28.64303436 3.40000000
 C	-12.26233767 -28.63386014 3.40000000
 C	-22.50403355 -28.61567880 3.40000000
 C	-27.62502620 -28.60655205 3.40000000
 C	-13.64045846 -28.29025604 3.40000000
 C	-18.76128557 -28.28108182 3.40000000
 C	-29.00314699 -28.26294794 3.40000000
 C	-4.77675949 -27.96495290 3.40000000
 C	-9.89764178 -27.95579451 3.40000000
 C	-20.13944802 -27.93764481 3.40000000
 C	-25.26027513 -27.92847059 3.40000000
 C	-11.27570739 -27.61217458 3.40000000
 C	-16.39653451 -27.60300037 3.40000000
 C	-26.63839592 -27.58486648 3.40000000
 C	-31.75922304 -27.57569227 3.40000000
 C	-2.41217395 -27.28691891 3.40000000
 C	-7.53300107 -27.27774469 3.40000000
 C	-17.77469695 -27.25956335 3.40000000
 C	-22.89557924 -27.25040496 3.40000000
 C	-33.13734383 -27.23208816 3.40000000
 C	-8.91095632 -26.93409313 3.40000000
 C	-14.03194897 -26.92496637 3.40000000
 C	-24.27364486 -26.90678502 3.40000000
 C	-29.39447197 -26.89761082 3.40000000
 C	-0.04742288 -26.60883745 3.40000000
 C	-5.16825000 -26.59966324 3.40000000
 C	-15.41011142 -26.58152936 3.40000000
 C	-20.53093853 -26.57235514 3.40000000
 C	-30.77259276 -26.55400671 3.40000000
 C	-6.54637079 -26.25605914 3.40000000
 C	-11.66719790 -26.24688492 3.40000000
 C	-21.90889379 -26.22870357 3.40000000
 C	-27.02988643 -26.21957682 3.40000000
 C	2.31732818 -25.93075600 3.40000000
 C	-2.80349893 -25.92158178 3.40000000
 C	-13.04536035 -25.90344790 3.40000000
 C	-18.16618746 -25.89427369 3.40000000
 C	-28.40800722 -25.87597271 3.40000000
 C	-4.18161972 -25.57797768 3.40000000
 C	-9.30250201 -25.56881928 3.40000000
 C	-19.54430825 -25.55066958 3.40000000
 C	-24.66513537 -25.54149537 3.40000000
 C	4.68207925 -25.25267454 3.40000000
 C	-0.43891340 -25.24354779 3.40000000
 C	-10.68060928 -25.22536645 3.40000000
 C	-15.80143640 -25.21619223 3.40000000
 C	-26.04325616 -25.19789126 3.40000000
 C	-31.16409716 -25.18877273 3.40000000
 C	-1.81703418 -24.89994369 3.40000000
 C	-6.93786130 -24.89076947 3.40000000
 C	-17.17955719 -24.87258812 3.40000000
 C	-22.30043948 -24.86342973 3.40000000
 C	-32.54220406 -24.84511294 3.40000000
 C	7.04666478 -24.57464055 3.40000000
 C	1.92583767 -24.56546633 3.40000000
 C	-8.31585822 -24.54728499 3.40000000
 C	-13.43685086 -24.53815824 3.40000000
 C	-23.67850509 -24.51980980 3.40000000
 C	-28.79934609 -24.51069128 3.40000000
 C	0.54771688 -24.22186223 3.40000000
 C	-4.57311023 -24.21268801 3.40000000
 C	-14.81497165 -24.19455413 3.40000000
 C	-19.93579876 -24.18537992 3.40000000
 C	-30.17745299 -24.16703148 3.40000000
 C	9.41141585 -23.89655909 3.40000000
 C	4.29053356 -23.88740070 3.40000000
 C	-5.95127268 -23.86925100 3.40000000
 C	-11.07209980 -23.86007678 3.40000000
 C	-21.31375403 -23.84172834 3.40000000
 C	-26.43476056 -23.83265729 3.40000000
 C	2.91246795 -23.54378077 3.40000000
 C	-2.20835917 -23.53460656 3.40000000
 C	-12.45022059 -23.51647267 3.40000000
 C	-17.57104770 -23.50729846 3.40000000
 C	-27.81286746 -23.48899749 3.40000000
 C	11.77600139 -23.21852510 3.40000000
 C	6.65517427 -23.20935088 3.40000000
 C	-3.58652161 -23.19116954 3.40000000
 C	-8.70740391 -23.18201115 3.40000000
 C	-18.94916849 -23.16369435 3.40000000
 C	-24.07000949 -23.15457583 3.40000000
 C	5.27721901 -22.86569932 3.40000000
 C	0.15622637 -22.85657256 3.40000000
 C	-10.08546952 -22.83839121 3.40000000
 C	-15.20629663 -22.82921701 3.40000000
 C	-25.44811639 -22.81091603 3.40000000
 C	-30.56898517 -22.80190890 3.40000000
 C	14.14075245 -22.54044364 3.40000000
 C	9.01992534 -22.53126943 3.40000000
 C	-1.22193608 -22.51313555 3.40000000
 C	-6.34276319 -22.50396133 3.40000000
 C	-16.58441742 -22.48561290 3.40000000
 C	-21.70531360 -22.47651019 3.40000000
 C	-31.94710595 -22.45830480 3.40000000
 C	7.64180455 -22.18766533 3.40000000
 C	2.52097744 -22.17849111 3.40000000
 C	-7.72071845 -22.16030976 3.40000000
 C	-12.84171110 -22.15118301 3.40000000
 C	-23.08336533 -22.13283458 3.40000000
 C	-28.20423410 -22.12382744 3.40000000
 C	16.50550352 -21.86236219 3.40000000
 C	11.38467640 -21.85318797 3.40000000
 C	1.14281499 -21.83505409 3.40000000
 C	-3.97801213 -21.82587987 3.40000000
 C	-14.21983189 -21.80757890 3.40000000
 C	-19.34067289 -21.79846038 3.40000000
 C	-29.58235489 -21.78022334 3.40000000
 C	10.00655562 -21.50958387 3.40000000
 C	4.88567333 -21.50042547 3.40000000
 C	-5.35613292 -21.48227577 3.40000000
 C	-10.47696003 -21.47310156 3.40000000
 C	-20.71861426 -21.45475312 3.40000000
 C	-25.83964856 -21.44579345 3.40000000
 C	18.87025459 -21.18428073 3.40000000
 C	13.74926194 -21.17515398 3.40000000
 C	3.50756605 -21.15697264 3.40000000
 C	-1.61326106 -21.14779842 3.40000000
 C	-11.85508082 -21.12949745 3.40000000
 C	-16.97592182 -21.12037892 3.40000000
 C	-27.21776935 -21.10218935 3.40000000
 C	12.37114115 -20.83154988 3.40000000
 C	7.25031404 -20.82237566 3.40000000
 C	-2.99138185 -20.80419431 3.40000000
 C	-8.11226414 -20.79503592 3.40000000
 C	-18.35402872 -20.77671913 3.40000000
 C	-23.47489750 -20.76771200 3.40000000
 C	21.23484012 -20.50624674 3.40000000
 C	16.11401301 -20.49707252 3.40000000
 C	5.87231712 -20.47889118 3.40000000
 C	0.75132448 -20.46976443 3.40000000
 C	-9.49032975 -20.45141599 3.40000000
 C	-14.61117075 -20.44229747 3.40000000
 C	-24.85301828 -20.42410790 3.40000000
 C	-29.97384540 -20.41493368 3.40000000
 C	14.73589222 -20.15346842 3.40000000
 C	9.61506510 -20.14429420 3.40000000
 C	-0.62679631 -20.12616032 3.40000000
 C	-5.74762343 -20.11698611 3.40000000
 C	-15.98927766 -20.09863767 3.40000000
 C	-21.11020161 -20.08964636 3.40000000
 C	-31.35196619 -20.07132958 3.40000000
 C	23.59959119 -19.82816528 3.40000000
 C	18.47870890 -19.81900689 3.40000000
 C	8.23690266 -19.80085719 3.40000000
 C	3.11607554 -19.79168297 3.40000000
 C	-7.12557869 -19.77333453 3.40000000
 C	-12.24658522 -19.76426348 3.40000000
 C	-22.48826722 -19.74602644 3.40000000
 C	-27.60909433 -19.73685222 3.40000000
 C	17.10064329 -19.47538696 3.40000000
 C	11.97981617 -19.46621275 3.40000000
 C	1.73795475 -19.44807886 3.40000000
 C	-3.38287236 -19.43890465 3.40000000
 C	-13.62469212 -19.42060368 3.40000000
 C	-18.74556089 -19.41159655 3.40000000
 C	-28.98721512 -19.39324812 3.40000000
 C	25.96417673 -19.15013129 3.40000000
 C	20.84334961 -19.14095707 3.40000000
 C	10.60165372 -19.12277573 3.40000000
 C	5.48077143 -19.11361733 3.40000000
 C	-4.76099315 -19.09530054 3.40000000
 C	-9.88183415 -19.08618202 3.40000000
 C	-20.12351615 -19.06794498 3.40000000
 C	-25.24450880 -19.05881823 3.40000000
 C	19.46539435 -18.79730551 3.40000000
 C	14.34440171 -18.78817875 3.40000000
 C	4.10270582 -18.76999740 3.40000000
 C	-1.01812129 -18.76082319 3.40000000
 C	-11.25994105 -18.74252222 3.40000000
 C	-16.38080983 -18.73351509 3.40000000
 C	-26.62262958 -18.71521413 3.40000000
 C	28.32892779 -18.47204983 3.40000000
 C	23.20810068 -18.46287562 3.40000000
 C	12.96623926 -18.44474174 3.40000000
 C	7.84541215 -18.43556752 3.40000000
 C	-2.39624208 -18.41721908 3.40000000
 C	-7.51713826 -18.40811638 3.40000000
 C	-17.75893061 -18.38991099 3.40000000
 C	-22.87975773 -18.38073677 3.40000000
 C	21.82997989 -18.11927152 3.40000000
 C	16.70915277 -18.11009730 3.40000000
 C	6.46745688 -18.09191595 3.40000000
 C	1.34646424 -18.08278920 3.40000000
 C	-8.89518999 -18.06444077 3.40000000
 C	-14.01605876 -18.05543363 3.40000000
 C	-24.25787852 -18.03713267 3.40000000
 C	-29.37870563 -18.02795845 3.40000000
 C	30.69367886 -17.79396838 3.40000000
 C	25.57285174 -17.78479416 3.40000000
 C	15.33099033 -17.76666028 3.40000000
 C	10.21016321 -17.75748606 3.40000000
 C	-0.03165655 -17.73918509 3.40000000
 C	-5.15249755 -17.73006657 3.40000000
 C	-15.39417955 -17.71182953 3.40000000
 C	-20.51506184 -17.70267114 3.40000000
 C	-30.75686808 -17.68452144 3.40000000
 C	24.19473095 -17.44119006 3.40000000
 C	19.07384866 -17.43203166 3.40000000
 C	8.83204242 -17.41388195 3.40000000
 C	3.71121531 -17.40470775 3.40000000
 C	-6.53043892 -17.38635931 3.40000000
 C	-11.65147322 -17.37739964 3.40000000
 C	-21.89312745 -17.35905122 3.40000000
 C	-27.01395457 -17.34987700 3.40000000
 C	33.05842992 -17.11588692 3.40000000
 C	27.93743728 -17.10676017 3.40000000
 C	17.69574139 -17.08857883 3.40000000
 C	12.57491428 -17.07940461 3.40000000
 C	2.33309452 -17.06110364 3.40000000
 C	-2.78774648 -17.05198511 3.40000000
 C	-13.02959401 -17.03379554 3.40000000
 C	-18.15042113 -17.02462132 3.40000000
 C	-28.39211701 -17.00643998 3.40000000
 C	26.55931649 -16.76315607 3.40000000
 C	21.43848938 -16.75398185 3.40000000
 C	11.19679349 -16.73580050 3.40000000
 C	6.07591120 -16.72664211 3.40000000
 C	-4.16585338 -16.70832532 3.40000000
 C	-9.28672216 -16.69931819 3.40000000
 C	-19.52837639 -16.68096976 3.40000000
 C	-24.64936903 -16.67184301 3.40000000
 C	35.42301546 -16.43785293 3.40000000
 C	30.30218835 -16.42867871 3.40000000
 C	20.06049246 -16.41049737 3.40000000
 C	14.93949981 -16.40137062 3.40000000
 C	4.69784558 -16.38302218 3.40000000
 C	-0.42299542 -16.37390366 3.40000000
 C	-10.66484295 -16.35571409 3.40000000
 C	-15.78567006 -16.34653987 3.40000000
 C	-26.02753148 -16.32840599 3.40000000
 C	28.92406756 -16.08507461 3.40000000
 C	23.80324044 -16.07590039 3.40000000
 C	13.56137902 -16.05776651 3.40000000
 C	8.44055191 -16.04859230 3.40000000
 C	-1.80110232 -16.03024386 3.40000000
 C	-6.92202627 -16.02125255 3.40000000
 C	-17.16379085 -16.00293577 3.40000000
 C	-22.28461796 -15.99376155 3.40000000
 C	32.66688423 -15.75061308 3.40000000
