 C	8.25796508 -22.68857258 3.40000000
 C	-3.30016169 -26.89538669 3.40000000
 C	19.81619972 -18.48171921 3.40000000
 C	-5.61185177 -27.73677307 3.40000000
 C	22.12778193 -17.64037209 3.40000000
 C	-7.92343398 -28.57812019 3.40000000
 C	24.43947201 -16.79898571 3.40000000
 C	-10.23507012 -29.41948693 3.40000000
 C	26.75116209 -15.95759933 3.40000000
 C	-12.54676020 -30.26087331 3.40000000
 C	29.06269035 -15.11627185 3.40000000
 C	5.94638287 -23.52991970 3.40000000
 C	-14.85828846 -31.10220080 3.40000000
 C	31.37438043 -14.27488547 3.40000000
 C	10.56965516 -21.84718620 3.40000000
 C	-17.16997854 -31.94358718 3.40000000
 C	33.68601657 -13.43351872 3.40000000
 C	-19.48166862 -32.78497356 3.40000000
 C	35.99759878 -12.59217160 3.40000000
 C	-21.79325083 -33.62632067 3.40000000
 C	-24.10488697 -34.46768742 3.40000000
 C	-26.41657705 -35.30907380 3.40000000
 C	-28.72810531 -36.15040129 3.40000000
 C	3.63474673 -24.37128645 3.40000000
 C	12.88134524 -21.00579982 3.40000000
 C	1.32305665 -25.21267283 3.40000000
 C	15.19287350 -20.16447234 3.40000000
 C	-0.98847161 -26.05400031 3.40000000
 C	17.50456358 -19.32308596 3.40000000
 C	-2.38720398 -25.80736606 3.40000000
 C	18.41752130 -18.23506533 3.40000000
 C	6.85939453 -22.44187943 3.40000000
 C	9.17092279 -21.60055195 3.40000000
 C	-4.69889406 -26.64875244 3.40000000
 C	20.72921138 -17.39367895 3.40000000
 C	-7.01042232 -27.49007992 3.40000000
 C	23.04073964 -16.55235146 3.40000000
 C	-9.32211240 -28.33146630 3.40000000
 C	25.35242972 -15.71096508 3.40000000
 C	-11.63380248 -29.17285268 3.40000000
 C	27.66395799 -14.86963760 3.40000000
 C	-13.94549256 -30.01423906 3.40000000
 C	29.97564807 -14.02825122 3.40000000
 C	-16.25702083 -30.85556655 3.40000000
 C	32.28733815 -13.18686484 3.40000000
 C	-18.56871091 -31.69695293 3.40000000
 C	34.59902823 -12.34547846 3.40000000
 C	-20.88023917 -32.53828041 3.40000000
 C	36.91055649 -11.50415097 3.40000000
 C	-23.19192925 -33.37966679 3.40000000
 C	-25.50361933 -34.22105317 3.40000000
 C	4.54770445 -23.28326581 3.40000000
 C	11.48261287 -20.75916557 3.40000000
 C	-27.81530941 -35.06243955 3.40000000
 C	-30.12683768 -35.90376703 3.40000000
 C	2.23601437 -24.12465219 3.40000000
 C	13.79414114 -19.91783809 3.40000000
 C	-0.07567571 -24.96603857 3.40000000
 C	16.10583122 -19.07645171 3.40000000
 C	-2.87297863 -24.47271117 3.40000000
 C	17.93174664 -16.90041043 3.40000000
 C	6.37356594 -21.10724417 3.40000000
 C	8.68514814 -20.26589706 3.40000000
 C	-5.18466871 -25.31409755 3.40000000
 C	20.24338279 -16.05904369 3.40000000
 C	-7.49625091 -26.15544466 3.40000000
