 C	23.89703040 -3.44923923 3.40000000
 C	22.13990160 -15.62298466 3.40000000
 C	25.65417560 8.72461982 3.40000000
 C	21.78846600 -18.05780192 3.40000000
 C	26.00559480 11.15932345 3.40000000
 C	21.43704680 -20.49250556 3.40000000
 C	26.35703040 13.59414071 3.40000000
 C	21.08561940 -22.92726600 3.40000000
 C	26.70846600 16.02895797 3.40000000
 C	20.73418380 -25.36208326 3.40000000
 C	27.05987700 18.46360480 3.40000000
 C	23.54561120 -5.88394287 3.40000000
 C	20.38277280 -27.79673009 3.40000000
 C	27.41131260 20.89842206 3.40000000
 C	24.24846600 -1.01442197 3.40000000
 C	20.03133720 -30.23154735 3.40000000
 C	27.76274000 23.33318251 3.40000000
 C	19.67990160 -32.66636461 3.40000000
 C	28.11415920 25.76788614 3.40000000
 C	19.32848240 -35.10106824 3.40000000
 C	18.97705500 -37.53582869 3.40000000
 C	18.62561940 -39.97064595 3.40000000
 C	18.27420840 -42.40529278 3.40000000
 C	23.19418380 -8.31870332 3.40000000
 C	24.59990160 1.42039529 3.40000000
 C	22.84274820 -10.75352058 3.40000000
 C	24.95131260 3.85504211 3.40000000
 C	22.49133720 -13.18816740 3.40000000
 C	25.30274820 6.28985937 3.40000000
 C	21.61274820 -14.30412531 3.40000000
 C	24.77559480 7.60871872 3.40000000
 C	23.01846600 -4.56502671 3.40000000
 C	23.36987700 -2.13037988 3.40000000
 C	21.26131260 -16.73894257 3.40000000
 C	25.12703040 10.04353598 3.40000000
 C	20.90990160 -19.17358940 3.40000000
 C	25.47844140 12.47818280 3.40000000
 C	20.55846600 -21.60840666 3.40000000
 C	25.82987700 14.91300006 3.40000000
 C	20.20703040 -24.04322392 3.40000000
 C	26.18128800 17.34764689 3.40000000
 C	19.85559480 -26.47804117 3.40000000
 C	26.53272360 19.78246415 3.40000000
 C	19.50418380 -28.91268800 3.40000000
 C	26.88415920 22.21728141 3.40000000
 C	19.15274820 -31.34750526 3.40000000
 C	27.23559480 24.65209866 3.40000000
 C	18.80133720 -33.78215208 3.40000000
 C	27.58700580 27.08674549 3.40000000
 C	18.44990160 -36.21696934 3.40000000
 C	18.09846600 -38.65178660 3.40000000
 C	22.66703040 -6.99984397 3.40000000
 C	23.72131260 0.30443737 3.40000000
 C	17.74703040 -41.08660386 3.40000000
 C	17.39561940 -43.52125069 3.40000000
 C	22.31559480 -9.43466123 3.40000000
 C	24.07272360 2.73908420 3.40000000
 C	21.96415920 -11.86947849 3.40000000
 C	24.42415920 5.17390146 3.40000000
 C	20.20700580 -14.10122387 3.40000000
 C	23.36985240 7.81162016 3.40000000
 C	21.61271540 -4.36218208 3.40000000
