 C	-14.7599508 0.000000 0.000000
 C	-12.2999016 1.42031007 0.000000
 C	-12.2999016 0.000000 0.000000
 C	-9.8398524 1.42031007 0.000000
 C	-9.8400246 0.000000 0.000000
 C	-7.3799754 1.42031007 0.000000
 C	-7.3799754 0.000000 0.000000
 C	-4.9199262 1.42031007 0.000000
 C	-4.9199262 0.000000 0.000000
 C	-2.4599344 1.42031007 0.000000
 C	-2.459877 0.000000 0.000000
 C	0.000000 1.42031007 0.000000
 C	0.000000 0.000000 0.000000
 C	2.4600492 1.42031007 0.000000
 C	-13.5299262 2.1304651 0.000000
 C	-11.069877 3.55077517 0.000000
 C	-11.069877 2.1304651 0.000000
 C	-8.6098278 3.55077517 0.000000
 C	-8.61 2.1304651 0.000000
 C	-6.1499508 3.55077517 0.000000
 C	-6.1499508 2.1304651 0.000000
 C	-3.6899016 3.55077517 0.000000
 C	-3.6899016 2.1304651 0.000000
 C	-1.2299098 3.55077517 0.000000
 C	-1.2298524 2.1304651 0.000000
 C	1.2300246 3.55077517 0.000000
 C	1.2300246 2.1304651 0.000000
 C	3.6900738 3.55077517 0.000000
 C	-12.2999877 4.26078107 0.000000
 C	-9.8399385 5.68109114 0.000000
 C	-9.8399385 4.26078107 0.000000
 C	-7.3798893 5.68109114 0.000000
 C	-7.3800615 4.26078107 0.000000
 C	-4.9200123 5.68109114 0.000000
 C	-4.9200123 4.26078107 0.000000
 C	-2.4599631 5.68109114 0.000000
 C	-2.4599631 4.26078107 0.000000
 C	2.87e-05 5.68109114 0.000000
 C	8.61e-05 4.26078107 0.000000
 C	2.4599631 5.68109114 0.000000
 C	2.4599631 4.26078107 0.000000
 C	4.9200123 5.68109114 0.000000
 C	-11.0699631 6.39124618 0.000000
 C	-8.6099139 7.81155624 0.000000
 C	-8.6099139 6.39124618 0.000000
 C	-6.1498647 7.81155624 0.000000
 C	-6.1500369 6.39124618 0.000000
 C	-3.6899877 7.81155624 0.000000
 C	-3.6899877 6.39124618 0.000000
 C	-1.2299385 7.81155624 0.000000
 C	-1.2299385 6.39124618 0.000000
 C	1.2300533 7.81155624 0.000000
 C	1.2301107 6.39124618 0.000000
 C	3.6899877 7.81155624 0.000000
 C	3.6899877 6.39124618 0.000000
 C	6.1500369 7.81155624 0.000000
 C	-9.8399385 8.52171128 0.000000
 C	-7.379918 9.94197164 0.000000
 C	-7.3798893 8.52171128 0.000000
 C	-4.9198688 9.94197164 0.000000
 C	-4.9200123 8.52171128 0.000000
 C	-2.4599918 9.94197164 0.000000
 C	-2.4599631 8.52171128 0.000000
 C	5.74e-05 9.94197164 0.000000
 C	8.61e-05 8.52171128 0.000000
 C	2.4600492 9.94197164 0.000000
 C	2.4601353 8.52171128 0.000000
 C	4.9199836 9.94197164 0.000000
 C	4.9200123 8.52171128 0.000000
 C	7.3800328 9.94197164 0.000000
 C	-8.6099139 10.65217638 0.000000
 C	-6.1499508 12.07233732 0.000000
 C	-6.1498647 10.65217638 0.000000
 C	-3.6899016 12.07233732 0.000000
 C	-3.6899877 10.65217638 0.000000
 C	-1.2300246 12.07233732 0.000000
 C	-1.2299385 10.65217638 0.000000
 C	1.2300246 12.07233732 0.000000
 C	1.2301107 10.65217638 0.000000
 C	3.6900164 12.07233732 0.000000
 C	3.6901599 10.65217638 0.000000
 C	6.1499508 12.07233732 0.000000
 C	6.1500369 10.65217638 0.000000
 C	8.61 12.07233732 0.000000
 C	-7.3799754 12.78249235 0.000000
 C	-4.9199262 14.20280242 0.000000
 C	-4.9199262 12.78249235 0.000000
 C	-2.459877 14.20280242 0.000000
 C	-2.4600492 12.78249235 0.000000
 C	0.000000 14.20280242 0.000000
 C	0.000000 12.78249235 0.000000
 C	2.4600492 14.20280242 0.000000
 C	2.4600492 12.78249235 0.000000
 C	4.920041 14.20280242 0.000000
 C	4.9200984 12.78249235 0.000000
 C	7.3799754 14.20280242 0.000000
 C	7.3799754 12.78249235 0.000000
 C	9.8400246 14.20280242 0.000000
